cruiseId|startdate|enddate
30000|08/16/2004|07/26/2005
30001|08/09/2014|09/29/2007
30002|08/10/2014|05/15/2015
30003|08/09/2007|05/06/2010
30004|07/01/2009|04/04/2012
30005|06/27/2002|05/31/2004
30006|03/07/2001|03/06/2009
30007|10/01/2009|08/21/2008
30008|12/24/2006|09/04/2007
30009|03/28/2008|07/23/2010
30010|01/07/2011|01/06/2017
30011|09/08/2002|05/27/2016
30012|01/08/2001|08/12/2007
30013|07/09/2001|05/20/2004
30014|03/02/2007|09/29/2012
30015|06/08/2007|05/19/2011
30016|07/13/2008|03/09/2002
30017|02/20/2016|02/12/2014
30018|07/24/2001|11/27/2016
30019|01/19/2011|12/24/2009
30020|04/06/2017|07/28/2013
30021|12/27/2011|11/29/2007
30022|08/14/2016|10/14/2005
30023|04/10/2013|07/03/2013
30024|09/17/2015|04/24/2016
30025|10/03/2011|09/29/2016
30026|09/27/2012|02/25/2010
30027|05/29/2004|04/27/2004
30028|03/23/2013|02/25/2006
30029|05/05/2008|04/23/2005
30030|06/13/2001|02/03/2013
30031|05/12/2001|03/17/2001
30032|11/14/2002|09/13/2010
30033|10/16/2004|07/23/2017
30034|08/30/2002|12/08/2016
30035|06/03/2009|08/03/2010
30036|07/08/2004|06/25/2015
30037|04/24/2012|09/14/2007
30038|07/25/2012|01/01/2011
30039|07/13/2002|10/10/2004
30040|09/13/2004|07/11/2005
30041|12/24/2008|02/23/2012
30042|01/12/2014|07/04/2016
30043|09/10/2017|09/28/2008
30044|07/03/2010|11/29/2002
30045|11/17/2003|03/17/2003
30046|03/02/2014|10/03/2007
30047|01/17/2014|11/07/2007
30048|01/04/2007|07/09/2002
30049|05/28/2011|01/04/2002
30050|08/14/2014|11/25/2012
30051|12/11/2001|10/29/2003
30052|12/16/2004|06/05/2003
30053|11/26/2004|05/10/2005
30054|11/02/2004|02/24/2008
30055|06/21/2003|05/10/2010
30056|08/27/2017|01/29/2005
30057|08/04/2011|12/28/2004
30058|08/07/2016|04/20/2013
30059|01/30/2013|05/28/2009
30060|08/06/2013|01/09/2012
30061|02/09/2006|07/02/2012
30062|07/22/2003|05/03/2002
30063|12/14/2007|09/20/2001
30064|04/21/2006|06/17/2006
30065|01/19/2004|06/25/2008
30066|04/06/2008|04/11/2008
30067|07/14/2011|05/21/2010
30068|05/15/2011|01/23/2001
30069|11/21/2015|07/09/2002
30070|10/18/2013|06/10/2015
30071|10/20/2014|12/02/2005
30072|12/07/2011|10/01/2008
30073|08/03/2011|10/08/2005
30074|08/04/2001|03/19/2002
30075|10/23/2011|09/10/2012
30076|12/26/2007|08/17/2011
30077|08/20/2001|09/01/2015
30078|03/11/2014|02/28/2002
30079|02/13/2011|11/14/2004
30080|04/15/2012|10/05/2002
30081|06/20/2012|09/25/2017
30082|08/14/2006|05/31/2004
30083|07/14/2016|01/06/2013
30084|09/01/2007|01/01/2015
30085|04/11/2011|12/22/2003
30086|06/21/2016|03/28/2002
30087|04/09/2006|04/04/2003
30088|07/19/2010|11/06/2012
30089|06/01/2012|06/13/2012
30090|05/18/2008|07/12/2016
30091|09/13/2003|07/13/2016
30092|05/21/2015|06/09/2014
30093|09/27/2014|06/17/2009
30094|02/19/2001|03/12/2011
30095|02/01/2009|02/07/2007
30096|03/04/2010|02/19/2013
30097|10/03/2008|10/25/2003
30098|05/30/2016|05/27/2013
30099|02/28/2004|07/06/2009
