shipNo|name|weight|year|passengerCapacity
30759|Eu LLC|25000|2015|30
28304|Lacus Vestibulum LLC|35030|2016|50
58684|Tincidunt Dui Augue Inc.|45060|2016|70
42750|Feugiat Non Lobortis Associates|55090|2017|90
68952|Nullam Nisl Ltd|65120|2016|110
24534|Mi Consulting|75150|2016|130
27205|Est Limited|85180|2017|150
40027|Ligula Ltd|95210|2015|170
89659|Felis Purus Consulting|105240|2017|190
40789|Sodales LLP|115270|2016|210
40940|Pede Ac Associates|125300|2017|230
81137|A Mi Fringilla Ltd|135330|2015|250
09233|Fermentum Metus Aenean Limited|145360|2017|270
66112|Curabitur Company|155390|2017|290
46219|Egestas Limited|165420|2016|310
47096|Diam Proin Dolor LLC|175450|2017|330
94859|Vestibulum Limited|185480|2015|350
17832|Facilisis Non Bibendum PC|195510|2016|370
69560|Enim Gravida Sit PC|205540|2017|390
64503|Erat Associates|215570|2017|410
61798|Lorem PC|225600|2016|430
70872|Arcu Vivamus Ltd|235630|2017|450
32785|Sollicitudin A Malesuada Consulting|245660|2016|470
09584|Rutrum Eu Foundation|255690|2017|490
26628|Sapien Company|265720|2017|510
74471|Quis Diam Pellentesque PC|275750|2017|530
47721|Luctus Felis Associates|285780|2016|550
48381|Ipsum Corp.|295810|2016|570
01984|Hendrerit Donec Porttitor Foundation|305840|2016|590
59710|At Company|315870|2017|610
41431|Ac Tellus Associates|325900|2016|630
74555|Scelerisque Neque Incorporated|335930|2017|650
02479|Turpis Non PC|345960|2017|670
55623|Vitae Erat Company|355990|2017|690
67445|Elit Pharetra Ut LLP|366020|2017|710
04502|Semper LLP|376050|2016|730
42224|Scelerisque Dui Suspendisse Ltd|386080|2016|750
00448|Eget Mollis Lectus Ltd|396110|2015|770
78849|Lorem Ipsum LLP|406140|2016|790
54526|Egestas A Scelerisque Consulting|416170|2016|810
39638|Dui Limited|426200|2015|830
01929|Nullam Inc.|436230|2016|850
08261|Integer LLP|446260|2015|870
33483|Rutrum Magna Consulting|456290|2017|890
06942|Fames Ac Turpis Foundation|466320|2017|910
27670|Ac Turpis Egestas LLC|476350|2015|930
15228|Neque Pellentesque Massa LLP|486380|2016|950
74563|Dolor Fusce Mi Inc.|496410|2017|970
38127|Velit Institute|506440|2016|990
34515|Felis Adipiscing Fringilla LLC|516470|2016|1010
41154|Nulla Donec PC|526500|2017|1030
69217|Pellentesque Massa Associates|536530|2016|1050
02069|Nascetur Corp.|546560|2017|1070
68320|Aliquam Adipiscing Foundation|556590|2015|1090
78352|Imperdiet Ullamcorper Duis Incorporated|566620|2017|1110
28375|Duis Sit Limited|576650|2017|1130
96890|Rutrum Eu Foundation|586680|2016|1150
97351|Mauris Inc.|596710|2017|1170
34000|Mauris Company|606740|2016|1190
72078|Et Ltd|616770|2016|1210
43753|Aenean Eget Metus Limited|626800|2016|1230
15175|Sapien Consulting|636830|2017|1250
09170|Sit Amet Lorem LLC|646860|2017|1270
58958|Sem Ut Limited|656890|2016|1290
98901|Cursus Diam At Ltd|666920|2015|1310
42160|Mi Corporation|676950|2015|1330
42134|Consectetuer Adipiscing PC|686980|2015|1350
90242|Lacus Corp.|697010|2015|1370
68210|Ac Metus Vitae LLC|707040|2016|1390
25153|Rutrum Foundation|717070|2016|1410
68113|Accumsan Incorporated|727100|2017|1430
13384|Neque Tellus Imperdiet LLC|737130|2017|1450
00346|Etiam Gravida Molestie Corporation|747160|2016|1470
61593|Sed Molestie LLC|757190|2016|1490
20061|Aliquet Diam Sed Consulting|767220|2016|1510
48894|Cras Lorem Lorem Corporation|777250|2017|1530
11862|Tellus Lorem Eu Foundation|787280|2016|1550
69805|Vulputate Velit Limited|797310|2017|1570
15155|Quam Pellentesque Associates|807340|2016|1590
84374|A Corp.|817370|2017|1610
37967|Nisi PC|827400|2017|1630
70781|Velit Eu LLP|837430|2016|1650
88929|Mauris Institute|847460|2016|1670
89717|Quam Consulting|857490|2016|1690
14789|Mauris Magna Inc.|867520|2016|1710
11197|Nulla Consulting|877550|2016|1730
97988|Risus Company|887580|2017|1750
61551|Vestibulum Industries|897610|2016|1770
90779|Ullamcorper Nisl Limited|907640|2016|1790
67220|Magna Company|917670|2016|1810
56484|Dui Associates|927700|2017|1830
56327|Odio Semper Cursus LLC|937730|2017|1850
28813|Donec Egestas PC|947760|2017|1870
46616|Mauris Limited|957790|2016|1890
82623|Mattis Semper Dui Institute|967820|2016|1910
01758|Ipsum Dolor Foundation|977850|2017|1930
04894|Nec Industries|987880|2016|1950
91229|Vulputate Posuere Vulputate Limited|997910|2017|1970
12607|Magna A Corp.|1007940|2017|1990
43175|Vel Mauris Consulting|1017970|2017|2010
